student_id,course_id,chapter_id,time_spent,score,completed
1,C103,1,22.91,58.67,0
1,C103,2,36.21,45.44,0
1,C103,3,34.15,48.43,0
1,C103,4,30.16,41.91,0
1,C103,5,28.36,42.0,0
1,C103,6,20.29,52.58,0
1,C103,7,20.71,15.39,0
1,C103,8,19.52,33.76,0
2,C101,1,17.51,25.21,0
2,C101,2,37.38,43.01,0
2,C101,3,38.24,16.69,0
2,C101,4,20.56,48.06,0
2,C101,5,15.48,52.03,0
2,C101,6,20.09,42.02,0
2,C101,7,32.63,49.46,0
2,C101,8,25.0,30.53,0
2,C101,9,32.0,28.09,0
2,C101,10,26.86,17.0,0
3,C101,1,37.26,34.48,0
3,C101,2,36.97,21.67,0
3,C101,3,48.94,0.82,0
3,C101,4,26.58,16.5,0
3,C101,5,47.29,28.56,0
3,C101,6,14.42,28.27,0
3,C101,7,47.97,8.83,0
3,C101,8,42.1,38.87,0
3,C101,9,45.82,10.82,0
3,C101,10,31.36,28.37,0
4,C103,1,17.77,52.87,1
4,C103,2,13.35,37.71,1
4,C103,3,37.45,50.67,1
4,C103,4,20.64,70.71,1
4,C103,5,23.7,45.98,1
4,C103,6,23.69,78.73,1
4,C103,7,31.47,52.75,1
4,C103,8,5.0,67.99,1
5,C102,1,23.84,44.6,0
5,C102,2,8.94,39.92,0
5,C102,3,42.87,43.59,0
5,C102,4,21.9,31.09,0
5,C102,5,22.05,56.95,0
5,C102,6,29.38,35.27,0
5,C102,7,44.25,29.78,0
5,C102,8,35.03,32.69,0
5,C102,9,23.59,37.34,0
5,C102,10,13.56,47.66,0
5,C102,11,28.78,43.3,0
5,C102,12,24.41,21.99,0
6,C101,1,26.15,24.08,0
6,C101,2,27.94,42.17,0
6,C101,3,62.85,25.82,0
6,C101,4,32.06,34.99,0
6,C101,5,10.64,35.71,0
6,C101,6,30.12,73.06,0
6,C101,7,42.39,27.09,0
6,C101,8,29.18,18.58,0
6,C101,9,40.77,47.39,0
6,C101,10,37.31,22.47,0
7,C101,1,9.9,70.44,0
7,C101,2,32.15,46.78,0
7,C101,3,24.37,42.09,0
7,C101,4,15.46,38.38,0
7,C101,5,19.01,45.7,0
7,C101,6,21.52,47.85,0
7,C101,7,37.48,33.26,0
7,C101,8,16.59,73.84,0
7,C101,9,10.96,65.05,0
7,C101,10,26.68,37.53,0
8,C101,1,28.14,56.31,0
8,C101,2,15.22,24.78,0
8,C101,3,43.34,32.69,0
8,C101,4,28.05,49.78,0
8,C101,5,20.02,48.07,0
8,C101,6,28.42,33.87,0
8,C101,7,54.94,34.46,0
8,C101,8,15.61,54.43,0
8,C101,9,17.48,56.39,0
8,C101,10,35.89,32.27,0
9,C103,1,24.14,67.82,0
9,C103,2,34.64,51.81,0
9,C103,3,26.5,28.1,0
9,C103,4,15.45,54.33,0
9,C103,5,23.63,59.64,0
9,C103,6,27.07,55.68,0
9,C103,7,42.11,34.34,0
9,C103,8,40.46,64.87,0
10,C101,1,20.67,37.24,0
10,C101,2,29.75,40.71,0
10,C101,3,53.28,19.27,0
10,C101,4,23.07,7.28,0
10,C101,5,27.36,42.85,0
10,C101,6,34.44,11.31,0
10,C101,7,50.07,23.85,0
10,C101,8,22.67,32.31,0
10,C101,9,32.77,12.86,0
10,C101,10,35.98,38.41,0
11,C103,1,27.7,36.5,0
11,C103,2,14.09,64.89,0
11,C103,3,34.26,43.26,0
11,C103,4,46.83,65.73,0
11,C103,5,28.26,71.47,0
11,C103,6,24.95,52.43,0
11,C103,7,35.94,30.38,0
11,C103,8,18.88,49.88,0
12,C103,1,46.96,15.14,0
12,C103,2,32.57,18.96,0
12,C103,3,35.59,39.65,0
12,C103,4,27.08,26.98,0
12,C103,5,20.19,53.34,0
12,C103,6,20.06,46.39,0
12,C103,7,40.17,22.25,0
12,C103,8,45.45,52.66,0
13,C103,1,41.58,3.72,0
13,C103,2,50.28,1.76,0
13,C103,3,57.23,14.15,0
13,C103,4,50.45,0.0,0
13,C103,5,34.79,6.52,0
13,C103,6,30.62,40.13,0
13,C103,7,64.01,0.0,0
13,C103,8,51.13,45.48,0
14,C101,1,10.27,49.19,0
14,C101,2,29.59,45.84,0
14,C101,3,34.29,45.38,0
14,C101,4,14.38,55.56,0
14,C101,5,5.0,41.09,0
14,C101,6,19.05,37.74,0
14,C101,7,42.53,23.33,0
14,C101,8,17.75,58.42,0
14,C101,9,30.8,34.92,0
14,C101,10,28.87,56.61,0
